Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position
Asmir Begović,2022-2023,35,Bosnia and Herzegovina,Everton,1,90,1,0,0,GK
Bailey Peacock-Farrell,2019-2020,22,Northern Ireland,Burnley,0,,0,,,GK
Bailey Peacock-Farrell,2020-2021,23,Northern Ireland,Burnley,4,360,4,0,0,GK
Bart Verbruggen,2023-2024,20,Netherlands,Brighton,21,1890,21,0,0,GK
Ben Foster,2018-2019,35,England,Watford,38,3420,38,0,0,GK
Ben Foster,2019-2020,36,England,Watford,38,3420,38,0,0,GK
Ben Foster,2021-2022,38,England,Watford,26,2340,26,0,1,GK
Ben Hamer,2018-2019,30,England,Huddersfield,7,552,7,0,0,GK
Bernd Leno,2018-2019,26,Germany,Arsenal,32,2836,31,0,0,GK
Bernd Leno,2019-2020,27,Germany,Arsenal,30,2649,30,0,0,GK
Bernd Leno,2020-2021,28,Germany,Arsenal,35,3131,35,0,0,GK
Bernd Leno,2021-2022,29,Germany,Arsenal,4,360,4,0,0,GK
Bernd Leno,2022-2023,30,Germany,Fulham,36,3240,36,0,0,GK
Bernd Leno,2023-2024,31,Germany,Fulham,38,3420,38,0,0,GK
Brandon Austin,2019-2020,20,England,Tottenham,0,,0,,,GK
Brandon Austin,2021-2022,22,England,Tottenham,0,,0,,,GK
Brandon Austin,2022-2023,23,England,Tottenham,0,,0,,,GK
Brandon Austin,2023-2024,24,England,Tottenham,0,,0,,,GK
Brian Murphy,2018-2019,35,Ireland,Cardiff City,0,,0,,,GK
Callan Mckenna,2023-2024,16,Scotland,Bournemouth,0,,0,,,GK
Cameron Plain,2022-2023,20,England,Bournemouth,0,,0,,,GK
Caoimhín Kelleher,2019-2020,20,Ireland,Liverpool,0,,0,,,GK
Caoimhín Kelleher,2020-2021,21,Ireland,Liverpool,2,180,2,0,0,GK
Caoimhín Kelleher,2021-2022,22,Ireland,Liverpool,2,180,2,0,0,GK
Caoimhín Kelleher,2022-2023,23,Ireland,Liverpool,1,90,1,0,0,GK
Caoimhín Kelleher,2023-2024,24,Ireland,Liverpool,10,900,10,0,0,GK
Christian Walton,2020-2021,24,England,Brighton,0,,0,,,GK
Cieran Slicker,2021-2022,18,Scotland,Manchester City,0,,0,,,GK
Claudio Bravo,2018-2019,35,Chile,Manchester City,0,,0,,,GK
