Unnamed: 0,Player,Unnamed: 2,Season,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Playing Time.4,Playing Time.5,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Unnamed: 30,-additional
116,Matz Sels,27,2023-2024,31,be BEL,Nott'ham Forest,eng Premier League,16,1440,16.0,16,0,0,0,0,0,0,0,0,0,27,61,36,57.4,4,4,8,1,6.3,GK,834b5c4c
181,Michael McGovern,6,2019-2020,35,nir NIR,Norwich City,eng Premier League,2,159,1.8,1,1,18,0,0,0,0,0,0,0,6,13,6,53.8,0,0,1,0,0.0,GK,51a19d04
297,Michael McGovern,,2021-2022,37,nir NIR,Norwich City,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,51a19d04
284,Michael Verrips,,2019-2020,22,nl NED,Sheffield Utd,eng Premier League,0,,,0,0,12,,,,,,,,,,,,0,0,0,,,GK,424595d5
285,Michael Verrips,,2020-2021,23,nl NED,Sheffield Utd,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,424595d5
195,Michel Vorm,4,2018-2019,34,nl NED,Tottenham,eng Premier League,2,180,2.0,2,0,4,0,0,0,0,0,0,0,4,13,9,69.2,0,0,2,0,0.0,GK,1bebde9d
257,Michel Vorm,,2019-2020,35,nl NED,Tottenham,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,1bebde9d
377,Nathan Bishop,,2020-2021,20,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,bf713136
378,Nathan Bishop,,2022-2023,22,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,bf713136
320,Nathan Trott,,2020-2021,21,eng ENG,West Ham,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,7494bea9
5,Neil Etheridge,69,2018-2019,28,ph PHI,Cardiff City,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,69,207,135,68.6,10,4,24,10,26.3,GK,2642bf6c
80,Neto,39,2022-2023,33,br BRA,Bournemouth,eng Premier League,27,2385,26.5,27,0,3,0,0,0,0,0,0,0,39,138,100,74.6,9,6,12,6,22.2,GK,a9dc785c
32,Neto,55,2023-2024,34,br BRA,Bournemouth,eng Premier League,32,2880,32.0,32,0,4,0,0,0,0,0,0,0,55,165,110,69.7,10,9,13,7,21.9,GK,a9dc785c
41,Nick Pope,50,2019-2020,27,eng ENG,Burnley,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,50,167,117,72.5,15,9,14,15,39.5,GK,4b40d9ca
84,Nick Pope,37,2020-2021,28,eng ENG,Burnley,eng Premier League,32,2880,32.0,32,0,0,0,0,0,0,0,0,0,37,149,113,77.2,10,9,13,11,34.4,GK,4b40d9ca
52,Nick Pope,47,2021-2022,29,eng ENG,Burnley,eng Premier League,36,3240,36.0,36,0,0,0,0,0,0,0,0,0,47,165,119,74.5,7,14,15,9,25.0,GK,4b40d9ca
98,Nick Pope,32,2022-2023,30,eng ENG,Newcastle Utd,eng Premier League,37,3261,36.2,37,0,0,0,0,0,0,0,0,0,32,118,85,74.6,19,13,5,14,37.8,GK,4b40d9ca
149,Nick Pope,16,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,15,1345,14.9,15,0,3,0,0,0,0,0,0,0,16,58,42,72.4,9,2,4,5,33.3,GK,4b40d9ca
156,Odysseas Vlachodimos,12,2023-2024,29,gr GRE,Nott'ham Forest,eng Premier League,5,450,5.0,5,0,14,0,0,0,0,0,0,0,12,22,10,50.0,1,0,4,1,20.0,GK,03df04ff
375,Oliwier Zych,,2022-2023,18,pl POL,Aston Villa,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,be18d79f
376,Oliwier Zych,,2023-2024,19,pl POL,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,be18d79f
