player,club,position,age,true_value,predicted_value,residual,abs_residual,percentage_error,over_under,value_category
Marc Guéhi,Crystal Palace,DF,22.0,29499999.999999966,7.0228105e+06,22477189.499999966,22477189.499999966,76.19386271186438,Underestimated,Medium-High (Q3)
Mason Holgate,Everton,DF,25.0,6499999.999999999,5.1173955e+06,1382604.499999999,1382604.499999999,21.27083846153845,Underestimated,Low (Q1)
Matt Doherty,Tottenham,DF,30.0,8999999.999999996,9.428197e+06,-428197.0000000037,428197.0000000037,4.757744444444488,Overestimated,Medium-Low (Q2)
Matt Targett,Newcastle Utd,DF,26.0,12000000.000000007,9.327335e+06,2672665.0000000075,2672665.0000000075,22.27220833333338,Underestimated,Medium-Low (Q2)
Matty Cash,Aston Villa,DF,24.0,24500000.000000007,5.3182155e+06,19181784.500000007,19181784.500000007,78.29299795918368,Underestimated,Medium-High (Q3)
Max Kilman,Wolves,DF,25.0,14499999.99999999,1.3602264e+07,897735.9999999907,897735.9999999907,6.19128275862063,Underestimated,Medium-High (Q3)
Moussa Niakhate,Nott'ham Forest,DF,26.0,15499999.999999987,4.729866e+06,10770133.999999987,10770133.999999987,69.48473548387094,Underestimated,Medium-High (Q3)
Nathan Aké,Manchester City,DF,27.0,15000000.00000001,1.2863071e+07,2136929.0000000093,2136929.0000000093,14.246193333333387,Underestimated,Medium-High (Q3)
Nathan Collins,Wolves,DF,21.0,10499999.999999994,1.1261627e+07,-761627.0000000056,761627.0000000056,7.253590476190533,Overestimated,Medium-Low (Q2)
Nathan Patterson,Everton,DF,20.0,2000000.0000000016,2.0023745e+06,-2374.49999999837,2374.49999999837,0.11872499999991842,Overestimated,Low (Q1)
Nathaniel Clyne,Crystal Palace,DF,31.0,3099999.9999999986,4.3038905e+06,-1203890.5000000014,1203890.5000000014,38.8351774193549,Overestimated,Low (Q1)
Nayef Aguerd,West Ham,DF,26.0,24500000.000000007,1.2654521e+07,11845479.000000007,11845479.000000007,48.348893877551035,Underestimated,Medium-High (Q3)
Neco Williams,Nott'ham Forest,DF,21.0,4000000.0000000005,3.0601775e+06,939822.5000000005,939822.5000000005,23.49556250000001,Underestimated,Low (Q1)
Oleksandr Zinchenko,Arsenal,DF,25.0,21500000.00000001,1.4851604e+07,6648396.000000011,6648396.000000011,30.922772093023294,Underestimated,Medium-High (Q3)
Pascal Groß,Brighton,MF,31.0,8499999.999999998,6.6479155e+06,1852084.4999999981,1852084.4999999981,21.789229411764687,Underestimated,Medium-Low (Q2)
Raphaël Varane,Manchester Utd,DF,29.0,39000000.00000001,1.8026054e+07,20973946.000000007,20973946.000000007,53.77934871794873,Underestimated,High (Q4)
Rayan Aït-Nouri,Wolves,DF,21.0,16000000.000000026,6.4157205e+06,9584279.500000026,9584279.500000026,59.901746875000065,Underestimated,Medium-High (Q3)
Reece James,Chelsea,DF,22.0,57000000.000000045,8.94394e+06,48056060.000000045,48056060.000000045,84.30887719298246,Underestimated,High (Q4)
Rob Holding,Arsenal,DF,26.0,11500000.000000019,9.141452e+06,2358548.0000000186,2358548.0000000186,20.50911304347839,Underestimated,Medium-Low (Q2)
Ruben Loftus-Cheek,Chelsea,MF,26.0,9500000.000000015,1.2330884e+07,-2830883.999999985,2830883.999999985,29.798778947368216,Overestimated,Medium-Low (Q2)
Ryan Sessegnon,Tottenham,DF,22.0,12000000.000000007,1.0160264e+07,1839736.0000000075,1839736.0000000075,15.331133333333385,Underestimated,Medium-Low (Q2)
Rúben Dias,Manchester City,DF,25.0,107500000.00000043,1.6802964e+07,90697036.00000043,90697036.00000043,84.36933581395355,Underestimated,High (Q4)
Scott McKenna,Nott'ham Forest,DF,25.0,4000000.0000000005,5.486767e+06,-1486766.9999999995,1486766.9999999995,37.16917499999998,Overestimated,Low (Q1)
